"Рег. номер";"Дата рег.";"Проект. номер";"Дата создания";"Состояние";"Куратор";"Структ. подразделение";"ЦФО";"Вид платежа";"Сумма в валюте";"Валюта";"НДС%";"Получатель";"Банк получателя";"Основание для платежа";"Назначение платежа";"Банк отправителя";"ID закупки";"Аванс/Расчет";"Проект ДЭ";"Проект";"№ п/п";"Дата платежа"
15/509/СЗО;14.07.2020;555;13.07.2020;Исполнен;Вахтин В. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"2 921 311,57";RUB;20%;АЗИМУТ;"АО АКБ ""НОВИКОМБАНК""";"Расчет по этапу № 1 договора от 17.12.2019 № 19-1001/0979-П, разработка проекта размещения АППЦ Бодайбо.";"Расчет по этапу № 1 договора от 17.12.2019 № 19-1001/0979-П, по счету от 26.06.2020 № 6000001719.";БАНК ВТБ (ПАО);5872;Расчет;Проекта нет;О/ОРВД;5468;14.07.2020
25/506/СЗО;14.07.2020;554;13.07.2020;Исполнен;Кутейников С. П. (ДИТС);Департамент информационных технологий и связи;25;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"73 706,07";RUB;20%;ГУП МОСКОЛЛЕКТОР;ПАО СБЕРБАНК;ГУП «Москоллектор» за услуги по технической эксплуатации коллекторов за июль 2020 года по договору от 26.01.2015 № 2447-А ;"Оплата  услуг по технической эксплуатации коллекторов за июль 2020 г. по договору от  26.01.2015 № 2447-А,  счет № 10360 от 02.07.2020";БАНК ВТБ (ПАО);12738;Расчет;нет проекта;Проекты не выясненные;5493;15.07.2020
25/512/СЗО;14.07.2020;553;11.07.2020;Исполнен;Мухортов Д. П. (ДИТС);Департамент информационных технологий и связи;25;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"346 800,00";RUB;Без НДС;СОФТПРОМБИАЙ;ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО);Оплата за услуги по техническому сопровождению и поддержке программ для ЭВМ и баз данных на платформе PlanDesigner по договору № ППО-00348 от 08/07/2020.;Оплата за услуги по ТП и поддержке программ для ЭВМ и БД на платформе PlanDesigner по договору № ППО-00348 от 08/07/2020.;БАНК ВТБ (ПАО);12548;Расчет;нет проекта;Проекты не выясненные;5473;14.07.2020
15/501/СЗО;14.07.2020;552;10.07.2020;Исполнен;Зоркина В. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"140 272,88";RUB;20%;РАДИОФИЗИКА;"ПАО ""ПРОМСВЯЗЬБАНК""";Оплата за услуги связи по договору № Ф8/117-8000-20 от 05.11.2019 за июнь 2020г. согласно счета № 406 от 30.06.2020г.;Оплата за услуги связи по договору № Ф8/117-8000-20 от 05.11.2019 за июнь 2020г. согласно счета № 406 от 30.06.2020г.;БАНК ВТБ (ПАО);8273;Расчет;Проекта нет;О/ОРВД;5452;14.07.2020
25/513/СЗО;14.07.2020;551;10.07.2020;Исполнен;Гордиенко В. И. (ДИТС);Департамент информационных технологий и связи;25;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"135 000,00";RUB;20%;"ООО ""Кор Системс""";"Филиал ""Корпоративный"" ПАО ""Совкомбанк""";Оплата поставляемых наушников по счету на оплату № КС-232 от 10.07.2020г. ;Оплата поставляемых наушников по счету на оплату № КС-232 от 10.07.2020г. ;ВЭБ.РФ;12737;Расчет;нет проекта;Проекты не выясненные;577;14.07.2020
15/502/СЗО;14.07.2020;550;10.07.2020;Исполнен;Зоркина В. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"246 306,98";RUB;20%;РАДИОФИЗИКА;"ПАО ""ПРОМСВЯЗЬБАНК""";Оплата за услуги связи по договору № Ф8/12-8000-20/1 от 12.11.2019 за июнь 2020г. согласно счета № 415 от 30.06.2020г.;Оплата за услуги связи по договору № Ф8/12-8000-20/1 от 12.11.2019 за июнь 2020г. согласно счета № 415 от 30.06.2020г.;БАНК ВТБ (ПАО);8473;Расчет;Проекта нет;О/ОРВД;5451;14.07.2020
15/503/СЗО;14.07.2020;549;10.07.2020;Исполнен;Зоркина В. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"251 238,95";RUB;20%;РАДИОФИЗИКА;"ПАО ""ПРОМСВЯЗЬБАНК""";Оплата за услуги связи по договору № Ф8/12-8000-20 от 12.11.2019 за июнь 2020г. согласно счета № 414 от 30.06.2020г.;Оплата за услуги связи по договору № Ф8/12-8000-20 от 12.11.2019 за июнь 2020г. согласно счета № 414 от 30.06.2020г.;БАНК ВТБ (ПАО);8472;Расчет;Проекта нет;О/ОРВД;5450;14.07.2020
001/496/СЗО;14.07.2020;548;10.07.2020;Исполнен;Щербак А. А. (АГД);Аппарат генерального директора;001;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"498 750,00";RUB;Без НДС;ИП Защук И.Е.;РНКБ БАНК (ПАО);"ИП Защуку И.Е. оплата по счету № 13 от 10.07.2020 за сувенирные наборы ""Трио"" с символикой концерна";"Оплата по счету № 13 от 10.07.2020 за сувенирные наборы ""Трио"" с символикой концерна, без НДС";БАНК ВТБ (ПАО);12736;Аванс;нет проекта;Проекты не выясненные;5457;14.07.2020
001/497/СЗО;14.07.2020;547;10.07.2020;Исполнен;Щербак А. А. (АГД);Аппарат генерального директора;001;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"499 800,00";RUB;Без НДС;ИП Защук И.Е.;РНКБ БАНК (ПАО);ИП Защуку И.Е. оплата по счету № 14 от 10.07.2020 за графины из художественного стекла с фигуркой С 400 внутри;"Оплата по счету № 14 от 10.07.2020 за графины из художественного стекла с фигуркой С 400 внутри, без НДС";БАНК ВТБ (ПАО);12732;Аванс;нет проекта;Проекты не выясненные;5456;14.07.2020
25/500/СЗО;14.07.2020;546;10.07.2020;Исполнен;Мухортов Д. П. (ДИТС);Департамент информационных технологий и связи;25;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"689 805,60";RUB;20%;ВКО СИМВОЛ;БАНК ВТБ (ПАО);Оплата услуг по технической поддержке веб-сайта по договору № 25/363 от 14/04/2020 по счёту №16 от 30/06/2020 за июнь;Оплата услуг по ТП веб-сайта по договору № 25/363 от 14/04/2020 по счёту №16 от 30/06/2020 за июнь;БАНК ВТБ (ПАО);11429;Расчет;нет проекта;Проекты не выясненные;5453;14.07.2020
